harmonic,frequency_hz,fft_amplitude_mv,theory_amplitude_mv,signed_theory_mv,cosine_coefficient_mv,sine_coefficient_mv,rms_mv,cosine_phase_deg
0,0.0,100.00000000004886,100.00000000004886,100.00000000004886,100.00000000004886,0.0,100.00000000004886,
1,50000.0,5.6781270832337006e-15,1.5696330561871474e-15,1.5696330561871474e-15,5.587184989907581e-15,-1.0121714587477152e-15,4.015042164993541e-15,
2,100000.0,19.224971794459254,19.22497179445926,-19.22497179445926,-19.224971794459254,-2.6103830208512592e-12,13.594107923982246,179.99999999999224
3,150000.0,1.5426747564135226e-15,6.016726099233178e-16,6.016726099233178e-16,-1.4099717912240534e-15,6.259592255314679e-16,1.0908357814253071e-15,
4,200000.0,2.8830086210026185,2.883008621002618,-2.883008621002618,-2.8830086210026185,-7.823083171965018e-13,2.0385949461302286,179.99999999998445
5,250000.0,2.1782376056703978e-15,4.955258001765685e-17,4.955258001765685e-17,-2.011894061625069e-15,8.348660680339629e-16,1.540246582005087e-15,
6,300000.0,0.15160813041635732,0.15160813041635507,-0.15160813041635507,-0.15160813041635732,-6.178252354160919e-14,0.10720313710042073,179.99999999997667
7,350000.0,8.582203506054536e-16,1.816170395228556e-18,1.816170395228556e-18,-8.555667460845536e-16,-6.743673470473558e-17,6.068534296654125e-16,
8,400000.0,0.004103914122178014,0.0041039141221762,-0.0041039141221762,-0.004103914122178014,-3.00227724625568e-15,0.0029019055051993114,179.9999999999581
9,450000.0,5.598143475498056e-16,3.784574211217009e-20,3.784574211217009e-20,-2.802438835421729e-16,4.846188909440238e-16,3.9584852135799026e-16,
10,500000.0,6.792075093478914e-05,6.792075093416674e-05,-6.792075093416674e-05,-6.792075093478914e-05,-4.657584471638547e-16,4.8027223569271934e-05,179.9999999996071
11,550000.0,7.736738077680855e-16,5.097657467120849e-22,5.097657467120849e-22,1.374712601489268e-16,7.613624717960787e-16,5.470699958992307e-16,
12,600000.0,7.593477057358739e-07,7.593477042077118e-07,-7.593477042077118e-07,-7.593477057358739e-07,2.3191347359026224e-15,5.369399120042834e-07,-179.99999982501214
13,650000.0,1.477174801275261e-15,4.8074834559908e-24,4.8074834559908e-24,-1.3338858515817332e-15,-6.346604828352566e-16,1.0445203189796277e-15,
14,700000.0,6.1232676917803896e-09,6.123267002150712e-09,-6.123267002150712e-09,-6.123267691780104e-09,1.8696405958932245e-15,4.3298041078784116e-09,-179.99998250566188
15,750000.0,1.2956017751561462e-15,3.3532247603734504e-26,3.3532247603734504e-26,2.2363125792940634e-16,-1.276155562721359e-15,9.161288009302395e-16,
16,800000.0,3.7311924700414244e-11,3.7311534108918553e-11,-3.7311534108918553e-11,-3.731192469973672e-11,-2.2485491542673573e-16,2.638351497478475e-11,
17,850000.0,7.157980816590631e-16,1.8004962639933572e-28,1.8004962639933572e-28,5.1544733070286235e-17,7.139397973215303e-16,5.061456775014455e-16,
18,900000.0,1.7653732145927484e-13,1.7788584370102785e-13,-1.7788584370102785e-13,-1.764918960060559e-13,-4.004561424536331e-15,1.2483073713636264e-13,
19,950000.0,1.4130430082603805e-15,7.673287725726541e-31,7.673287725726541e-31,1.3778502574295218e-16,1.4063092938164632e-15,9.991722932491536e-16,
20,1000000.0,2.1112119880010985e-15,6.817553181770445e-16,-6.817553181770445e-16,-7.96616113195366e-17,-2.1097085310444013e-15,1.4928523132379087e-15,
21,1050000.0,4.420722941750356e-16,2.658929404307646e-33,2.658929404307646e-33,-3.577175372984153e-16,-2.597423276755948e-16,3.125923169858619e-16,
22,1100000.0,1.0678384839562874e-15,2.1463711954315616e-18,-2.1463711954315616e-18,-1.6934137463220187e-16,1.0543256264815621e-15,7.550758332174531e-16,
23,1150000.0,5.485323869249673e-16,7.639257975656255e-36,7.639257975656255e-36,-5.484517278886219e-16,9.406470198056946e-18,3.8787097049508743e-16,
24,1200000.0,1.1983415643944147e-15,5.65021253860841e-21,-5.65021253860841e-21,8.350258326363766e-16,8.595082104233671e-16,8.473554463609864e-16,
25,1250000.0,3.0255459991458926e-16,1.84938052922656e-38,1.84938052922656e-38,-2.8696418483365144e-16,9.586888208503901e-17,2.1393840927878887e-16,
26,1300000.0,3.589180674415117e-15,1.2621900828690668e-23,-1.2621900828690668e-23,2.588194972895129e-15,2.4866573338269462e-15,2.537933993782635e-15,
27,1350000.0,9.425629352168085e-16,3.8240737895405335e-41,3.8240737895405335e-41,8.317570091340808e-16,4.4340180942442483e-16,6.664926431869017e-16,
28,1400000.0,8.815022092279856e-16,2.4228037221431616e-26,-2.4228037221431616e-26,-6.99335801458197e-16,5.366335636844204e-16,6.233161897760315e-16,
29,1450000.0,2.889499641538287e-16,6.832444501772919e-44,6.832444501772919e-44,-2.785973986016073e-17,2.8760374941822834e-16,2.043184790767821e-16,
30,1500000.0,2.733019374622449e-15,4.039301546586756e-29,-4.039301546586756e-29,-2.4692660755175333e-15,-1.1713752389221486e-15,1.9325365329097508e-15,
