frequency_hz,peak_amplitude_mv
0,100
250,5.07020928838e-15
500,6.2809125116e-15
750,4.94547194772e-15
1000,5.39901958316e-15
1250,4.27251240123e-15
1500,5.30413622639e-15
1750,5.03686419984e-15
2000,5.12940176972e-15
2250,4.76141199148e-15
2500,4.49725706582e-15
2750,5.09068469234e-15
3000,5.56371774527e-15
3250,5.40678973156e-15
3500,4.73710688811e-15
3750,3.65188349817e-15
4000,5.3347124046e-15
4250,6.07759194903e-15
4500,4.27138034909e-15
4750,4.73173925142e-15
5000,3.24943620661e-15
5250,5.78136589542e-15
5500,4.5846700179e-15
5750,4.70707993688e-15
6000,6.0103616656e-15
6250,6.68946851346e-15
6500,5.84566520153e-15
6750,4.39572220441e-15
7000,4.78736370863e-15
7250,4.68913879219e-15
7500,6.49148051434e-15
7750,5.29416643655e-15
8000,5.00651848194e-15
8250,4.65998905162e-15
8500,5.07674263822e-15
8750,4.76415140124e-15
9000,4.08968657734e-15
9250,3.82598240336e-15
9500,4.5732265758e-15
9750,4.62275223818e-15
10000,4.98484693101e-15
10250,3.72855219759e-15
10500,4.53147653169e-15
10750,3.54274381409e-15
11000,4.31008338834e-15
11250,5.15085559998e-15
11500,4.34941917843e-15
11750,5.04504979629e-15
12000,4.97898459725e-15
12250,4.87305226289e-15
12500,5.0371215732e-15
12750,4.79140406229e-15
13000,4.88360899693e-15
13250,4.9067505521e-15
13500,4.92548221285e-15
13750,5.42069512303e-15
14000,4.86456409174e-15
14250,5.19145878583e-15
14500,2.94681475132e-15
14750,6.92551942894e-15
15000,6.33996853175e-15
15250,5.96436037619e-15
15500,6.57839803422e-15
15750,5.09385955303e-15
16000,5.31371437589e-15
16250,5.25225320366e-15
16500,5.26929060188e-15
16750,5.25645447889e-15
17000,5.51351496863e-15
17250,5.68254487087e-15
17500,5.36230732226e-15
17750,5.27100072967e-15
18000,4.46877724498e-15
18250,4.46433418615e-15
18500,4.92636671168e-15
18750,5.2218145398e-15
19000,4.52340360557e-15
19250,3.93527718281e-15
19500,3.20623538088e-15
19750,3.98500519629e-15
20000,4.91278058423e-15
20250,5.35412782165e-15
20500,5.35107730834e-15
20750,5.11955567568e-15
21000,4.88353923894e-15
21250,4.50158710093e-15
21500,4.85410846747e-15
21750,5.22016161597e-15
22000,5.34712235127e-15
22250,5.29546229468e-15
22500,4.38249712297e-15
22750,4.95680762286e-15
23000,5.19257561174e-15
23250,5.10346374914e-15
23500,5.88580200716e-15
23750,3.7710919275e-15
24000,4.27199923812e-15
24250,5.91183798759e-15
24500,5.41487800609e-15
24750,5.35724516717e-15
25000,5.93603720818e-15
25250,6.69489111446e-15
25500,5.61744777135e-15
25750,5.60172111725e-15
26000,5.55219756071e-15
26250,5.66313183691e-15
26500,5.91162387494e-15
26750,6.15009779796e-15
27000,6.21653952827e-15
27250,6.1532355345e-15
27500,5.99288503259e-15
27750,5.68108610892e-15
28000,5.85879694973e-15
28250,5.79623620012e-15
28500,5.70138490191e-15
28750,5.6369412529e-15
29000,5.9697081964e-15
29250,5.67554489678e-15
29500,5.62465058762e-15
29750,4.88737302351e-15
30000,5.5764548841e-15
30250,4.35596726398e-15
30500,5.34368068395e-15
30750,2.98085499418e-15
31000,6.77713195883e-15
31250,1.05392950011e-14
31500,5.65447139158e-15
31750,7.01196310135e-15
32000,5.44234445304e-15
32250,6.08427254207e-15
32500,5.1702736627e-15
32750,4.97570333909e-15
33000,5.13378480062e-15
33250,5.40529117756e-15
33500,4.54301425731e-15
33750,4.73577971593e-15
34000,4.2582655352e-15
34250,5.43296184501e-15
34500,4.46272825882e-15
34750,5.38631995762e-15
35000,4.76105697751e-15
35250,5.25490337879e-15
35500,4.77729707226e-15
35750,4.67530794207e-15
36000,4.73637293729e-15
36250,4.91368623771e-15
36500,4.91404789943e-15
36750,4.72737474105e-15
37000,4.84224856727e-15
37250,5.75005910801e-15
37500,5.76263707571e-15
37750,6.29239279905e-15
38000,3.47512911546e-15
38250,7.45034102633e-15
38500,3.77915061868e-15
38750,4.80359686039e-15
39000,4.5961947093e-15
39250,5.2397761907e-15
39500,5.82378301072e-15
39750,5.76854911129e-15
40000,5.09133436514e-15
40250,4.92763731913e-15
40500,5.62166766006e-15
40750,5.55511985913e-15
41000,5.47882733894e-15
41250,5.8754865852e-15
