harmonic,frequency_hz,fft_amplitude_mv,theory_amplitude_mv,signed_theory_mv,cosine_coefficient_mv,sine_coefficient_mv,rms_mv,cosine_phase_deg
0,0.0,100.00000000012416,100.00000000012415,100.00000000012415,100.00000000012416,0.0,100.00000000012416,
1,50000.0,58.734834523071335,58.73483452307132,-58.73483452307132,4.006348812433623e-12,-58.734834523071335,41.53179978313348,89.99999999999609
2,100000.0,48.847480296715915,48.84748029671594,-48.84748029671594,-48.847480296715915,-6.636984295482762e-12,34.54038456168409,179.9999999999922
3,150000.0,22.514269205539108,22.5142692055391,-22.5142692055391,4.584754571814222e-12,-22.514269205539108,15.919992428696165,89.99999999998833
4,200000.0,7.325249072681344,7.325249072681338,-7.325249072681338,-7.325249072681344,-1.9996154162899268e-12,5.179733293173447,179.99999999998437
5,250000.0,1.8542312013982738,1.8542312013982658,-1.8542312013982658,6.251819020714379e-13,-1.8542312013982738,1.3111394563963983,89.99999999998069
6,300000.0,0.38521123684921577,0.3852112368492109,-0.3852112368492109,-0.38521123684921577,-1.644606673067983e-13,0.2723854777653377,179.99999999997556
7,350000.0,0.06796013068722266,0.0679601306872144,-0.0679601306872144,2.9785705855610455e-14,-0.06796013068722266,0.04805506925925913,89.99999999997489
8,400000.0,0.010427368443800012,0.010427368443796187,-0.010427368443796187,-0.010427368443800012,-9.412800400232512e-15,0.007373262936541605,179.9999999999483
9,450000.0,0.0014161675505037943,0.0014161675504979364,-0.0014161675504979364,1.2730969150652606e-15,-0.0014161675505037943,0.0010013816782575755,89.9999999999485
10,500000.0,0.00017257541797608856,0.00017257541797544045,-0.00017257541797544045,-0.00017257541797608856,-3.149661385653743e-15,0.00012202924831699502,179.9999999989543
11,550000.0,1.907516324664111e-05,1.9075163243181806e-05,-1.9075163243181806e-05,2.463981290113744e-15,-1.907516324664111e-05,1.3488177283940327e-05,89.99999999259897
12,600000.0,1.9293771875158097e-06,1.9293771879724087e-06,-1.9293771879724087e-06,-1.9293771875158097e-06,2.1674968832144575e-15,1.364275692759058e-06,-179.9999999356329
13,650000.0,1.7989348072419946e-07,1.79893475195999e-07,-1.79893475195999e-07,3.710400963936521e-15,-1.798934807241994e-07,1.272039001113329e-07,89.99999881824336
14,700000.0,1.5558213581552087e-08,1.555821082272234e-08,-1.555821082272234e-08,-1.555821358155176e-08,3.2022500292152367e-15,1.1001318326664123e-08,-179.99998820716718
15,750000.0,1.254764259618634e-09,1.254758879107842e-09,-1.254758879107842e-09,4.893026197067245e-15,-1.2547642596090937e-09,8.872523167668537e-10,89.99977657177594
16,800000.0,9.480397840496658e-11,9.480244999635939e-11,-9.480244999635939e-11,-9.480397817976767e-11,-6.534485978212438e-15,6.703653601361488e-11,
17,850000.0,6.7379099164092175e-12,6.737361302898629e-12,-6.737361302898629e-12,3.977381492695636e-15,-6.737908742486955e-12,4.764421792917041e-12,
18,900000.0,4.5004203570670155e-13,4.5197856923540173e-13,-4.5197856923540173e-13,-4.499114409820022e-13,-1.0841087423792734e-14,3.18227775267207e-13,
19,950000.0,2.7740848547836852e-14,2.871303474668458e-14,-2.871303474668458e-14,2.1184047248729088e-15,-2.765984525581548e-14,1.9615742124044426e-14,
20,1000000.0,5.845035497742377e-15,1.732227741495689e-15,-1.732227741495689e-15,-1.40433128634347e-15,-5.673825306445852e-15,4.133064236729722e-15,
21,1050000.0,6.413984526335795e-15,9.949572478417391e-17,-9.949572478417391e-17,-3.922889820857476e-15,-5.074458883219747e-15,4.535371952997626e-15,
22,1100000.0,5.206272905970499e-16,5.45357495445058e-18,-5.45357495445058e-18,9.973029156045684e-17,5.109859534857013e-16,3.681390876519532e-16,
23,1150000.0,6.471890269971321e-15,2.85856972309919e-19,-2.85856972309919e-19,-1.561357754387342e-15,-6.28072652082257e-15,4.5763174969919565e-15,
24,1200000.0,1.7454433868267687e-15,1.4356257507304948e-20,-1.4356257507304948e-20,1.2053228273351828e-15,1.2624458398371085e-15,1.2342148550024223e-15,
25,1250000.0,6.843824365552102e-15,6.9202836246436015e-22,-6.9202836246436015e-22,1.2992503385541865e-15,-6.719366079050274e-15,4.839314618131612e-15,
26,1300000.0,6.191390832071268e-15,3.2070166792872093e-23,-3.2070166792872093e-23,4.6054146093832646e-15,4.138052284727121e-15,4.377974442333815e-15,
27,1350000.0,7.130534346130229e-15,1.430948082721174e-24,-1.430948082721174e-24,4.844577688210534e-15,-5.232072924208485e-15,5.0420491896322694e-15,
28,1400000.0,1.8814462668605652e-15,6.155944380334883e-26,-6.155944380334883e-26,1.7958431893194547e-15,5.610590828589145e-16,1.3303834137352204e-15,
29,1450000.0,6.537088747956208e-15,2.5566644103082245e-27,-2.5566644103082245e-27,2.528640517281359e-15,-6.028225811382543e-15,4.622419782898112e-15,
30,1500000.0,8.371172703195527e-15,1.0263198553365708e-28,-1.0263198553365708e-28,-5.259760425238644e-15,-6.5124075959524605e-15,5.919312984913279e-15,
